OBJECTID,SRA,NAME,Lat,Lon
1,1,CENTRAL SAN DIEGO,32.717214,-117.164099
2,2,PENINSULA,32.72949,-117.226068
3,3,CORONADO,32.665205,-117.16221
4,4,NATIONAL CITY,32.665783,-117.099726
5,5,SOUTHEASTERN SAN DIEGO,32.697041,-117.060844
6,6,MID-CITY,32.752167,-117.087728
7,10,KEARNY MESA,32.804919,-117.168752
8,11,COASTAL,32.818192,-117.243511
9,12,UNIVERSITY,32.877465,-117.222053
10,13,DEL MAR-MIRA MESA,32.934536,-117.184974
11,14,NORTH SAN DIEGO,33.001937,-117.120086
12,15,POWAY,32.986388,-117.026359
13,16,MIRAMAR,32.866796,-117.118713
14,17,ELLIOTT-NAVAJO,32.85353,-117.048332
15,20,SWEETWATER,32.640138,-116.990654
16,21,CHULA VISTA,32.622501,-117.077944
17,22,SOUTH BAY,32.567461,-117.019407
18,30,JAMUL,32.676548,-116.811353
19,31,SPRING VALLEY,32.736014,-116.97245
20,32,LEMON GROVE,32.730419,-117.032703
21,33,LA MESA,32.770555,-117.017168
22,34,EL CAJON,32.794873,-116.943525
23,35,SANTEE,32.851925,-116.988689
24,36,LAKESIDE,32.904906,-116.88286
25,37,HARBISON CREST,32.83671,-116.848012
26,38,ALPINE,32.837575,-116.758319
27,39,RAMONA,33.031211,-116.848184
28,40,SAN DIEGUITO,33.044307,-117.225839
29,41,CARLSBAD,33.133189,-117.284891
30,42,OCEANSIDE,33.234323,-117.304295
31,43,PENDLETON,33.361952,-117.413984
32,50,ESCONDIDO,33.126797,-117.03581
33,51,SAN MARCOS,33.145915,-117.170736
34,52,VISTA,33.208559,-117.206957
35,53,VALLEY CENTER,33.23893,-116.994011
36,54,PAUMA,33.334339,-117.02383
37,55,FALLBROOK,33.393088,-117.255009
38,60,PALOMAR-JULIAN,33.241609,-116.70329
39,61,LAGUNA-PINE VALLEY,32.898665,-116.614026
40,62,MOUNTAIN EMPIRE,32.701706,-116.440991
41,63,ANZA-BORREGO SPRINGS,33.115065,-116.290008
